business_name,country,metro_seed,niche,public_email,website,phone_from_osm,address_from_osm,why_this_is_a_fit,suggested_offer_angle,source,osm_type,osm_id,outreach_status,last_contacted,gmail_message_id,gmail_thread_id,outreach_notes
Environmental Plumbing,Canada,Ottawa,Plumbing contractor,ottawaplumber@environmentalplumbing.ca,https://environmentalplumbing.ca/downtown-ottawa/,+1 613-254-7727,"610, Somerset Street West, Ottawa, ON, K1R 5K4","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,11415646751,sent,2026-06-25,19efeaf72f466844,19efe9cded5f5653,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Fast Plumber,Canada,Ottawa,Plumbing contractor,info@fastplumber.ca,https://fastplumber.ca/ottawa/,+1-613-627-0973,"116, Albert Street, Ottawa, Ontario, K1P 5G3","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,12419769353,sent,2026-06-25,19efeaf804b1c753,19efe9d02e53d060,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Francis Home Environment Heating and Air Conditioning,Canada,Ottawa,HVAC contractor,info@francishome.ca,https://www.francishome.ca/,+1 613-723-4700,"38, Antares Drive, Ottawa, Ontario, K2E 7V2","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13322037180,sent,2026-06-25,19efeaf8e6a3865c,19efe9d1c409bad6,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Anchor Home Comfort,Canada,Ottawa,HVAC contractor,info@anchorhomecomfort.com,https://www.anchorhomecomfort.com/,+1-613-704-4180,"1181, Parisien St., Ottawa, Ontario, K1B 4W4","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13449262918,sent,2026-06-25,19efeaf9e6085128,19efe9d35937debb,draft_review_passed; sent_via_gmail; included_website_and_cal_link
MT Ventilation,Canada,Ottawa,HVAC contractor,info@mtventilation.ca,https://mtventilation.ca,+1 819-669-4235,"854, Boulevard Maloney Est, Gatineau","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,308485196,sent,2026-06-26,19f054652d06dc4c,19f054652d06dc4c,replacement_sent_via_gmail; previous_email=ventmt@yahoo.ca; previous_bounce=mailbox_full; draft_review_passed; included_website_and_cal_link
Longhill Energy Products,Canada,Ottawa,HVAC contractor,solutions@longhill.ca,https://longhill.ca/,+1 613-226-3856,"124, Reis Road, Carp, Ontario, K0A 1L0","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,557485612,sent,2026-06-26,19f0539b3594811a,19f0532637e627b7,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Mako Carpentry,Canada,Ottawa,Carpentry / finish contractor,info@makocarpentry.com,https://www.makocarpentry.com/,+1 343-204-7474,"389, Hepatica Way, Ottawa, ON, K4A 0Z1","Quote requests, scope clarification, vendor/material tracking, job-photo documentation, and client follow-up are often spreadsheet/email-driven.","Quote request triage, scope clarification, material/vendor follow-up, and client update workflow.",OpenStreetMap / Overpass API public email business tags,node,10576126799,bounced,2026-06-26,19f0539ccac68d75,19f0532876688350,bounced; remote_server_misconfigured_relay_access_denied; draft_review_passed; sent_via_gmail; included_website_and_cal_link
Panel Upgrade Experts,Canada,Calgary,Electrical contractor,admin@panelupgradeexperts.com,https://panelupgradeexperts.com/,+1 403-774-7460,"4838, Richard Road SW, Calgary, Alberta, T3E 6L1","Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,13112052875,sent,2026-06-25,19f00ab2a8a119fc,19f00a8c3994d38b,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Movin' Air Heating & Air Conditioning Ltd.,Canada,Calgary,HVAC contractor,info@movinair.com,http://www.movinair.com/,+1-403-225-6082,"6323, 35 Street SE, Calgary, T2C 1N1","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,290090014,bounced,2026-06-26,19f0539e020affa2,19f0532b2d28bb44,bounced; domain_null_mx_does_not_receive_email; draft_review_passed; sent_via_gmail; included_website_and_cal_link
Central Roofing (Calgary) Ltd.,Canada,Calgary,Roofing contractor,crcalg@telus.net,https://www.centralroofingcalgary.org/,+1 403-287-1333,"4007, Ogden Road SE, Calgary, T2G 4N6","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,way,433292550,sent,2026-06-25,19f00ab392728bf8,19f00a8d7a5d6760,factual_review_passed; sent_via_gmail; included_website_and_cal_link
YYC Cabinets,Canada,Calgary,Carpentry / finish contractor,info@yyccabinets.ca,https://yyccabinets.ca/,+1 587-841-5243,"666, Goddard Avenue NE, Calgary, T2K 5X3","Quote requests, scope clarification, vendor/material tracking, job-photo documentation, and client follow-up are often spreadsheet/email-driven.","Quote request triage, scope clarification, material/vendor follow-up, and client update workflow.",OpenStreetMap / Overpass API public email business tags,node,13474431452,sent,2026-06-26,19f0539f433bf286,19f0532d8e46f71a,draft_review_passed; sent_via_gmail; included_website_and_cal_link
A Burst of Colour Inc.,Canada,Calgary,Painting contractor,info@aburstofcolour.ca,https://aburstofcolour.ca,+1 403-702-3470,"64, Brookpark Mews SW, Calgary, AB, T2W 2P3","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,12071402011,sent,2026-06-26,19f053a166bf45e7,19f0533010ba3f1f,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Professional Gardener Co.,Canada,Calgary,Landscaping contractor,progar.veno@gmail.com,https://www.profgard.com/,+1 780-910-8402,"915, 23 Avenue SE, Calgary, T2G 1P1","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,way,727296323,sent,2026-06-26,19f053a2c59687e3,19f0533276b42f2e,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Jayson Global Roofing,Canada,Edmonton,Roofing contractor,info@jaysonglobal.com,https://www.jaysonglobal.com,+1-780-438-0331,"8925, 62 Avenue NW, Edmonton, T6E 6G4","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,7363525037,sent,2026-06-25,19f00ab48dd55990,19f00a8ecbc0fe89,factual_review_passed; sent_via_gmail; included_website_and_cal_link
ProAmp Electric Ltd.,Canada,Vancouver,Electrical contractor,info@proampelectric.ca,https://proampelectric.ca/,+1-604-460-6683,"2231, Hartley Avenue, Coquitlam, V3K 6W9","Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,5578933664,sent,2026-06-25,19f00ab59abc36ff,19f00a8fefbb119c,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Best Built-In Centre,Canada,Vancouver,Electrical contractor,customerservice@bestbuiltin.ca,https://www.bestsecurity.ca/,+1-604-324-7777,"1743, Boundary Road, Vancouver","Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,8501572973,sent,2026-06-26,19f053a48718fe2a,19f05334c6adc449,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Harbourview Electric,Canada,Vancouver,Electrical contractor,mail@harbourviewelectric.com,https://www.harbourviewelectric.com/,+1-604-430-4777,"5707, Sidley Street, Vancouver","Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,8858068487,sent,2026-06-26,19f053a68d9d5ac3,19f05336ffa6c277,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Universal Plumbing and Heating,Canada,Vancouver,Plumbing contractor,sales@universalheating.ca,https://www.universalheating.ca/,+1-604-876-1199,"3586, Commercial Street, Vancouver, V5N 4E9","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,5207271819,bounced,2026-06-23,19ef5b1c61034ae9,19ef5a11e24da27f,bounced; no_such_user; sent_via_gmail; included_website_and_cal_link
Via Plumbing and Heating,Canada,Vancouver,Plumbing contractor,info@viaplumbing.com,https://viaplumbing.com/,+1-604-336-5889,"5489, Byrne Road, Vancouver","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,8726761964,sent,2026-06-25,19f00ab655f7fa18,19f00a91585069b3,factual_review_passed; sent_via_gmail; included_website_and_cal_link
"Milani Plumbing, Heating & Air Conditioning",Canada,Vancouver,Plumbing contractor,customerservice@milani.ca,https://www.milani.ca/locations/burnaby-bc/,+1-604-888-8888,"5526, Kingsway, Vancouver","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,8868960079,sent,2026-06-23,19ef5b1e5e8b7e45,19ef5a2ab6cf0e1e,factual_review_passed; sent_via_gmail; included_website_and_cal_link
